State,District,"Potato Area (in Hectare)","Potato Production  (in tonnes)","Other Vegetables  Area  (in Hectare)","Other Vegetables Production (in tonnes)"
"Himachal Pradesh",Bilaspur,150,1950,3491,93706
"Himachal Pradesh",Chamba,800,10400,3463,71922
"Himachal Pradesh",Hamirpur,150,1950,4121,93201
"Himachal Pradesh",Kangra,1250,16250,8612,154834
"Himachal Pradesh",Kinnaur,700,9100,3743,48685
"Himachal Pradesh",Kullu,900,11700,7431,163821
"Himachal Pradesh",Lahaul-spiti,1300,16900,4445,66407
"Himachal Pradesh",Mandi,1576,20800,11216,233153
"Himachal Pradesh",Shimla,5686,74100,13372,255554
"Himachal Pradesh",Sirmaur,1500,19500,12988,276241
