State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
Andaman and Nicobar Islands,Nicobars,2000,Kharif,Arecanut,1254,2000
Andaman and Nicobar Islands,Nicobars,2000,Kharif,Other Kharif pulses,2,1
Andaman and Nicobar Islands,Nicobars,2000,Kharif,Rice,102,321
Andaman and Nicobar Islands,Nicobars,2000,Whole Year,Banana,176,641
Andaman and Nicobar Islands,Nicobars,2000,Whole Year,Cashewnut,720,165
Andaman and Nicobar Islands,Nicobars,2000,Whole Year,Coconut,18168,65100000
Andaman and Nicobar Islands,Nicobars,2000,Whole Year,Dry ginger,36,100
Andaman and Nicobar Islands,Nicobars,2000,Whole Year,Sugarcane,1,2
Andaman and Nicobar Islands,Nicobars,2000,Whole Year,Sweet potato,5,15
Andaman and Nicobar Islands,Nicobars,2000,Whole Year,Tapioca,40,169
