Category,Country,Area(In Hectare)-2009-10,Area(In Hectare)-2010-11,Area(In Hectare)-2011-12,Area(In Hectare)-2012-13,Production(In Tonnes)-2009-10,Production(In Tonnes)-2010-11,Production(In Tonnes)-2011-12,Production(In Tonnes)-2012-13,Productivity (In Tonnes/Hectare)-2009-10,Productivity (In Tonnes/Hectare)-2010-11,Productivity (In Tonnes/Hectare)-2011-12,Productivity (In Tonnes/Hectare)-2012-13
Fruits,China,11057621,11402073,NA,11834450,109615629,122184944,NA,137066750,9.9,10.7,NA,11.6
Fruits,India,6329200,6383000,NA,6982015,71515500,74878000,NA,81285334,11.3,11.7,NA,11.6
Fruits,Brazil,2449758,2441430,NA,2325385,38683456,39286781,NA,38368678,15.8,16.1,NA,16.5
Fruits,USA,1159589,1145475,NA,1137779,27762483,25383917,NA,26548859,23.9,22.2,NA,23.3
Fruits,Italy,1267386,1277347,NA,1125593,17646110,16907895,NA,13889219,13.9,13.2,NA,12.3
Fruits,Spain,1743165,1562160,NA,1539100,16277697,15184420,NA,13996447,9.3,9.7,NA,9.1
Fruits,Mexico,1201897,1212387,NA,1256730,16122211,15255598,NA,15917806,13.4,12.6,NA,12.7
Fruits,Indonesia,721258,662800,NA,796530,16028273,14867762,NA,17744411,22.2,22.4,NA,22.3
Fruits,Philippines,1123530,1155871,NA,1240370,15620664,16181731,NA,16370976,13.9,14,NA,13.2
Fruits,Turkey,1036528,1092623,NA,1102662,12829520,13945604,NA,14974561,12.4,12.8,NA,13.6
